Sample,,,,,,,FAD Results,,,NAD Results,,,ADPR Results,,,UDP-GlcNac Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,!,SST,SST_01.d,Sample,,1/12/2024 1:25 PM,5.681,68.0840,,6.721,216.7192,,7.765,238.8138,,7.861,166.9484,
!,!,H2O_Blank,H2O_Blank_01.d,Sample,,1/12/2024 1:45 PM,5.724,0.0000,,6.792,0.1714,,7.751,0.6269,,7.833,0.9697,
,!,20240112_NAD_FAD_MWS_1,20240112_NAD_FAD_MWS_01.d,Sample,,1/12/2024 2:06 PM,5.710,0.0000,,6.736,0.1715,,7.737,0.6207,,7.876,0.9698,
,!,20240112_NAD_FAD_MWS_2,20240112_NAD_FAD_MWS_02.d,Sample,,1/12/2024 2:27 PM,5.738,0.1612,,6.750,3.3053,,7.836,0.6187,,7.862,1.6604,
,!,20240112_NAD_FAD_MWS_3,20240112_NAD_FAD_MWS_03.d,Sample,,1/12/2024 2:47 PM,5.724,0.1414,,6.750,3.3955,,7.652,0.6425,,7.847,1.5984,
!,!,20240112_NAD_FAD_MWS_4,20240112_NAD_FAD_MWS_04.d,Sample,,1/12/2024 3:08 PM,5.724,0.1413,,6.736,3.4439,,7.708,0.6339,,7.847,1.5685,
!,!,20240112_NAD_FAD_MWS_5,20240112_NAD_FAD_MWS_05.d,Sample,,1/12/2024 3:28 PM,5.738,0.1514,,6.736,3.6441,,7.751,0.6304,,7.847,2.1016,
!,!,20240112_NAD_FAD_MWS_6,20240112_NAD_FAD_MWS_06.d,Sample,,1/12/2024 3:49 PM,5.738,0.1492,,6.750,3.0743,,7.779,0.6289,,7.847,1.8581,
!,!,20240112_NAD_FAD_MWS_7,20240112_NAD_FAD_MWS_07.d,Sample,,1/12/2024 4:09 PM,5.738,0.1426,,6.750,3.0191,,7.822,0.6225,,7.847,1.8880,
!,!,20240112_NAD_FAD_MWS_8,20240112_NAD_FAD_MWS_08.d,Sample,,1/12/2024 4:30 PM,5.738,0.1623,,6.750,3.9002,,7.708,0.6420,,7.847,1.8659,
!,!,20240112_NAD_FAD_MWS_9,20240112_NAD_FAD_MWS_09.d,Sample,,1/12/2024 4:50 PM,5.724,0.1529,,6.750,3.6221,,7.794,0.6392,,7.862,1.7700,
,!,20240112_NAD_FAD_MWS_10,20240112_NAD_FAD_MWS_10.d,Sample,,1/12/2024 5:11 PM,5.724,0.1456,,6.736,3.5498,,7.652,0.6401,,7.847,1.6959,
!,!,20240112_NAD_FAD_MWS_11,20240112_NAD_FAD_MWS_11.d,Sample,,1/12/2024 5:31 PM,5.738,0.1565,,6.750,3.3397,,7.794,0.6347,,7.847,1.5551,
!,!,20240112_NAD_FAD_MWS_12,20240112_NAD_FAD_MWS_12.d,Sample,,1/12/2024 5:51 PM,5.738,0.1367,,6.736,3.3030,,7.794,0.6273,,7.847,1.5169,
!,!,20240112_NAD_FAD_MWS_13,20240112_NAD_FAD_MWS_13.d,Sample,,1/12/2024 6:12 PM,5.724,0.1311,,6.736,3.2649,,7.808,0.6249,,7.847,1.5226,
!,!,20240112_NAD_FAD_MWS_14,20240112_NAD_FAD_MWS_14.d,Sample,,1/12/2024 6:32 PM,5.738,0.1600,,6.750,2.4582,,7.765,0.6687,,7.847,2.3367,
,!,20240112_NAD_FAD_MWS_15,20240112_NAD_FAD_MWS_15.d,Sample,,1/12/2024 6:53 PM,5.724,0.1456,,6.736,1.6699,,7.794,0.6378,,7.847,1.6408,
!,!,20240112_NAD_FAD_MWS_16,20240112_NAD_FAD_MWS_16.d,Sample,,1/12/2024 7:13 PM,5.724,0.1379,,6.750,1.8018,,7.822,0.6381,,7.847,1.6069,
!,!,20240112_NAD_FAD_MWS_17,20240112_NAD_FAD_MWS_17.d,Sample,,1/12/2024 7:34 PM,5.738,0.1683,,6.750,2.5170,,7.779,0.6683,,7.862,2.3514,
,!,20240112_NAD_FAD_MWS_18,20240112_NAD_FAD_MWS_18.d,Sample,,1/12/2024 7:54 PM,5.738,0.1615,,6.750,2.4815,,7.723,0.6834,,7.862,2.1417,
!,!,20240112_NAD_FAD_MWS_19,20240112_NAD_FAD_MWS_19.d,Sample,,1/12/2024 8:15 PM,5.738,0.1440,,6.764,2.2013,,7.794,0.6834,,7.862,1.8795,
,!,20240112_NAD_FAD_MWS_20,20240112_NAD_FAD_MWS_20.d,Sample,,1/12/2024 8:35 PM,5.738,0.1648,,6.750,3.4252,,7.836,0.6214,,7.847,1.6033,
,!,20240112_NAD_FAD_MWS_21,20240112_NAD_FAD_MWS_21.d,Sample,,1/12/2024 8:56 PM,5.724,0.1428,,6.750,3.6417,,7.708,0.6481,,7.862,1.5467,
!,!,20240112_NAD_FAD_MWS_22,20240112_NAD_FAD_MWS_22.d,Sample,,1/12/2024 9:16 PM,5.724,0.1367,,6.750,3.2451,,7.765,0.6290,,7.862,1.5534,
