"Geneid";"Entity";"t0";"t1";"t4";"t7";"t10";"t20";"Gene";"Gene Type";"Funtion/Product"
"gene-b0023";"U00096.3";"-";"-";"-";"+";"-";"-";"rpsT";"protein_coding";"30S ribosomal subunit protein S20"
"gene-b0024";"U00096.3";"-";"-";"+";"+";"-";"-";"yaaY";"protein_coding";"DUF2575 domain-containing protein YaaY"
"gene-b0081";"U00096.3";"+";"+";"+";"-";"-";"-";"mraZ";"protein_coding";"DNA-binding transcriptional repressor MraZ"
"gene-b0113";"U00096.3";"+";"+";"+";"+";"+";"+";"pdhR";"protein_coding";"DNA-binding transcriptional dual regulator PdhR"
"gene-b0126";"U00096.3";"+";"+";"+";"+";"-";"-";"can";"protein_coding";"carbonic anhydrase 2"
"gene-b0146";"U00096.3";"+";"+";"+";"-";"-";"-";"sfsA";"protein_coding";"sugar fermentation stimulation protein A"
"gene-b0154";"U00096.3";"+";"+";"+";"-";"-";"-";"hemL";"protein_coding";"glutamate-1-semialdehyde 2%2C1-aminomutase"
"gene-b0156";"U00096.3";"+";"-";"+";"-";"-";"-";"erpA";"protein_coding";"iron-sulfur cluster insertion protein ErpA"
"gene-b0172";"U00096.3";"+";"-";"-";"-";"-";"-";"frr";"protein_coding";"ribosome-recycling factor"
"gene-b0179";"U00096.3";"+";"+";"-";"+";"-";"-";"lpxD";"protein_coding";"UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
"gene-b0209";"U00096.3";"+";"+";"+";"+";"+";"+";"yafD";"protein_coding";"endonuclease/exonuclease/phosphatase domain-containing protein YafD"
"gene-b0219";"U00096.3";"+";"-";"-";"-";"-";"-";"yafV";"protein_coding";"2-oxoglutaramate amidase"
"gene-b0237";"U00096.3";"+";"+";"+";"+";"+";"+";"pepD";"protein_coding";"peptidase D"
"gene-b0313";"U00096.3";"+";"+";"+";"-";"-";"-";"betI";"protein_coding";"DNA-binding transcriptional repressor BetI"
"gene-b0388";"U00096.3";"-";"+";"-";"-";"-";"-";"aroL";"protein_coding";"shikimate kinase 2"
"gene-b0432";"U00096.3";"+";"+";"+";"+";"-";"-";"cyoA";"protein_coding";"cytochrome bo3 subunit 2"
"gene-b0437";"U00096.3";"+";"+";"+";"+";"-";"-";"clpP";"protein_coding";"ATP-dependent Clp protease proteolytic subunit"
"gene-b0451";"U00096.3";"+";"+";"+";"-";"-";"-";"amtB";"protein_coding";"ammonium transporter"
"gene-b0677";"U00096.3";"+";"+";"+";"-";"-";"-";"nagA";"protein_coding";"N-acetylglucosamine-6-phosphate deacetylase"
"gene-b0683";"U00096.3";"+";"-";"-";"-";"-";"-";"fur";"protein_coding";"DNA-binding transcriptional dual regulator Fur"
"gene-b0684";"U00096.3";"+";"-";"-";"-";"-";"-";"fldA";"protein_coding";"flavodoxin 1"
"gene-b0755";"U00096.3";"+";"+";"+";"+";"+";"+";"gpmA";"protein_coding";"2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase"
"gene-b0766";"U00096.3";"+";"+";"+";"-";"+";"-";"ybhA";"protein_coding";"pyridoxal phosphate/fructose-1%2C6-bisphosphate phosphatase"
"gene-b0817";"U00096.3";"+";"+";"+";"-";"-";"-";"mntR";"protein_coding";"DNA-binding transcriptional dual regulator MntR"
"gene-b0881";"U00096.3";"+";"+";"-";"-";"-";"-";"clpS";"protein_coding";"specificity factor for ClpA-ClpP chaperone-protease complex"
"gene-b0883";"U00096.3";"+";"-";"-";"-";"-";"-";"serW";"tRNA";"tRNA-Ser"
