"seqid"	"type"	"start"	"end"	"strand"	"gene"	"gene_biotype"	"ID"	"Name"	"Parent"	"product"	"protein_id"
"1"	"U00096.3"	"region"	1	4641652	"+"	NA	NA	"U00096.3:1..4641652"	"ANONYMOUS"	NA	NA	NA
"2"	"U00096.3"	"gene"	190	255	"+"	"thrL"	"protein_coding"	"gene-b0001"	"thrL"	NA	NA	NA
"3"	"U00096.3"	"CDS"	190	255	"+"	"thrL"	NA	"cds-AAC73112.1"	"AAC73112.1"	"gene-b0001"	"thr operon leader peptide"	"AAC73112.1"
"4"	"U00096.3"	"gene"	337	2799	"+"	"thrA"	"protein_coding"	"gene-b0002"	"thrA"	NA	NA	NA
"5"	"U00096.3"	"CDS"	337	2799	"+"	"thrA"	NA	"cds-AAC73113.1"	"AAC73113.1"	"gene-b0002"	"fused aspartate kinase/homoserine dehydrogenase 1"	"AAC73113.1"
"6"	"U00096.3"	"gene"	2801	3733	"+"	"thrB"	"protein_coding"	"gene-b0003"	"thrB"	NA	NA	NA
"7"	"U00096.3"	"CDS"	2801	3733	"+"	"thrB"	NA	"cds-AAC73114.1"	"AAC73114.1"	"gene-b0003"	"homoserine kinase"	"AAC73114.1"
"8"	"U00096.3"	"gene"	3734	5020	"+"	"thrC"	"protein_coding"	"gene-b0004"	"thrC"	NA	NA	NA
"9"	"U00096.3"	"CDS"	3734	5020	"+"	"thrC"	NA	"cds-AAC73115.1"	"AAC73115.1"	"gene-b0004"	"threonine synthase"	"AAC73115.1"
"10"	"U00096.3"	"gene"	5234	5530	"+"	"yaaX"	"protein_coding"	"gene-b0005"	"yaaX"	NA	NA	NA
"11"	"U00096.3"	"CDS"	5234	5530	"+"	"yaaX"	NA	"cds-AAC73116.1"	"AAC73116.1"	"gene-b0005"	"DUF2502 domain-containing protein YaaX"	"AAC73116.1"
"12"	"U00096.3"	"gene"	5683	6459	"-"	"yaaA"	"protein_coding"	"gene-b0006"	"yaaA"	NA	NA	NA
"13"	"U00096.3"	"CDS"	5683	6459	"-"	"yaaA"	NA	"cds-AAC73117.1"	"AAC73117.1"	"gene-b0006"	"DNA binding and peroxide stress response protein YaaA"	"AAC73117.1"
"14"	"U00096.3"	"gene"	6529	7959	"-"	"yaaJ"	"protein_coding"	"gene-b0007"	"yaaJ"	NA	NA	NA
"15"	"U00096.3"	"CDS"	6529	7959	"-"	"yaaJ"	NA	"cds-AAC73118.1"	"AAC73118.1"	"gene-b0007"	"putative transporter YaaJ"	"AAC73118.1"
"16"	"U00096.3"	"gene"	8238	9191	"+"	"talB"	"protein_coding"	"gene-b0008"	"talB"	NA	NA	NA
"17"	"U00096.3"	"CDS"	8238	9191	"+"	"talB"	NA	"cds-AAC73119.1"	"AAC73119.1"	"gene-b0008"	"transaldolase B"	"AAC73119.1"
"18"	"U00096.3"	"gene"	9306	9893	"+"	"mog"	"protein_coding"	"gene-b0009"	"mog"	NA	NA	NA
"19"	"U00096.3"	"CDS"	9306	9893	"+"	"mog"	NA	"cds-AAC73120.1"	"AAC73120.1"	"gene-b0009"	"molybdopterin adenylyltransferase"	"AAC73120.1"
"20"	"U00096.3"	"gene"	9928	10494	"-"	"satP"	"protein_coding"	"gene-b0010"	"satP"	NA	NA	NA
"21"	"U00096.3"	"CDS"	9928	10494	"-"	"satP"	NA	"cds-AAC73121.1"	"AAC73121.1"	"gene-b0010"	"acetate/succinate:H(+) symporter"	"AAC73121.1"
"22"	"U00096.3"	"gene"	10643	11356	"-"	"yaaW"	"protein_coding"	"gene-b0011"	"yaaW"	NA	NA	NA
"23"	"U00096.3"	"CDS"	10643	11356	"-"	"yaaW"	NA	"cds-AAC73122.1"	"AAC73122.1"	"gene-b0011"	"putative enzyme-specific chaperone YaaW"	"AAC73122.1"
"24"	"U00096.3"	"gene"	10830	11315	"+"	"mbiA"	"protein_coding"	"gene-b0012"	"mbiA"	NA	NA	NA
"25"	"U00096.3"	"CDS"	10830	11315	"+"	"mbiA"	NA	"cds-AYC08161.1"	"AYC08161.1"	"gene-b0012"	"uncharacterized protein MbiA"	"AYC08161.1"
"26"	"U00096.3"	"gene"	11382	11786	"-"	"yaaI"	"protein_coding"	"gene-b0013"	"yaaI"	NA	NA	NA
"27"	"U00096.3"	"CDS"	11382	11786	"-"	"yaaI"	NA	"cds-AAC73124.1"	"AAC73124.1"	"gene-b0013"	"DUF2541 domain-containing protein YaaI"	"AAC73124.1"
"28"	"U00096.3"	"gene"	12163	14079	"+"	"dnaK"	"protein_coding"	"gene-b0014"	"dnaK"	NA	NA	NA
"29"	"U00096.3"	"CDS"	12163	14079	"+"	"dnaK"	NA	"cds-AAC73125.1"	"AAC73125.1"	"gene-b0014"	"chaperone protein DnaK"	"AAC73125.1"
"30"	"U00096.3"	"gene"	14168	15298	"+"	"dnaJ"	"protein_coding"	"gene-b0015"	"dnaJ"	NA	NA	NA
"31"	"U00096.3"	"CDS"	14168	15298	"+"	"dnaJ"	NA	"cds-AAC73126.1"	"AAC73126.1"	"gene-b0015"	"chaperone protein DnaJ"	"AAC73126.1"
"32"	"U00096.3"	"mobile_genetic_element"	15387	16731	"+"	NA	NA	"id-U00096.3:15387..16731"	NA	NA	NA	NA
"33"	"U00096.3"	"gene"	15445	16557	"+"	"insL1"	"protein_coding"	"gene-b0016"	"insL1"	NA	NA	NA
"34"	"U00096.3"	"CDS"	15445	16557	"+"	"insL1"	NA	"cds-AAC73127.1"	"AAC73127.1"	"gene-b0016"	"IS186/IS421 family transposase"	"AAC73127.1"
"35"	"U00096.3"	"gene"	16751	16960	"-"	"mokC"	"protein_coding"	"gene-b0018"	"mokC"	NA	NA	NA
"36"	"U00096.3"	"CDS"	16751	16960	"-"	"mokC"	NA	"cds-AAC73129.1"	"AAC73129.1"	"gene-b0018"	"regulatory protein MokC"	"AAC73129.1"
"37"	"U00096.3"	"gene"	16751	16903	"-"	"hokC"	"protein_coding"	"gene-b4412"	"hokC"	NA	NA	NA
"38"	"U00096.3"	"CDS"	16751	16903	"-"	"hokC"	NA	"cds-AAT48122.1"	"AAT48122.1"	"gene-b4412"	"protein HokC"	"AAT48122.1"
"39"	"U00096.3"	"gene"	16952	17010	"+"	"sokC"	"ncRNA"	"gene-b4413"	"sokC"	NA	NA	NA
"40"	"U00096.3"	"ncRNA"	16952	17010	"+"	"sokC"	NA	"rna-b4413"	NA	"gene-b4413"	"small regulatory RNA antitoxin SokC"	NA
"41"	"U00096.3"	"exon"	16952	17010	"+"	"sokC"	NA	"exon-b4413-1"	NA	"rna-b4413"	"small regulatory RNA antitoxin SokC"	NA
