"Geneid";"Entity";"t0";"t1";"t4";"t7";"t10";"t20";"Gene";"Gene Type";"Funtion/Product"
"gene-b0081";"U00096.3";"+";"-";"-";"-";"-";"-";"mraZ";"protein_coding";"DNA-binding transcriptional repressor MraZ"
"gene-b0113";"U00096.3";"-";"+";"+";"+";"+";"-";"pdhR";"protein_coding";"DNA-binding transcriptional dual regulator PdhR"
"gene-b0126";"U00096.3";"+";"+";"+";"-";"-";"-";"can";"protein_coding";"carbonic anhydrase 2"
"gene-b0146";"U00096.3";"+";"+";"-";"-";"-";"-";"sfsA";"protein_coding";"sugar fermentation stimulation protein A"
"gene-b0209";"U00096.3";"+";"+";"+";"+";"+";"-";"yafD";"protein_coding";"endonuclease/exonuclease/phosphatase domain-containing protein YafD"
"gene-b0237";"U00096.3";"+";"+";"+";"+";"-";"-";"pepD";"protein_coding";"peptidase D"
"gene-b0451";"U00096.3";"-";"+";"-";"-";"-";"-";"amtB";"protein_coding";"ammonium transporter"
"gene-b0677";"U00096.3";"+";"+";"-";"-";"-";"-";"nagA";"protein_coding";"N-acetylglucosamine-6-phosphate deacetylase"
"gene-b0755";"U00096.3";"+";"+";"+";"-";"+";"-";"gpmA";"protein_coding";"2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase"
"gene-b0883";"U00096.3";"+";"-";"-";"-";"-";"-";"serW";"tRNA";"tRNA-Ser"
"gene-b0929";"U00096.3";"-";"-";"-";"-";"+";"-";"ompF";"protein_coding";"outer membrane porin F"
"gene-b0967";"U00096.3";"-";"+";"-";"-";"-";"-";"rlmI";"protein_coding";"23S rRNA m(5)C1962 methyltransferase"
"gene-b0971";"U00096.3";"-";"+";"-";"-";"-";"-";"serT";"tRNA";"tRNA-Ser"
"gene-b0991";"U00096.3";"-";"+";"-";"-";"-";"-";"ymcE";"protein_coding";"protein YmcE"
"gene-b1032";"U00096.3";"+";"-";"-";"-";"-";"-";"serX";"tRNA";"tRNA-Ser"
"gene-b1094";"U00096.3";"+";"+";"+";"+";"+";"+";"acpP";"protein_coding";"acyl carrier protein"
"gene-b1095";"U00096.3";"+";"-";"-";"-";"-";"-";"fabF";"protein_coding";"3-oxoacyl-[acyl carrier protein] synthase 2"
"gene-b1656";"U00096.3";"+";"+";"+";"+";"+";"+";"sodB";"protein_coding";"superoxide dismutase (Fe)"
"gene-b1712";"U00096.3";"+";"-";"+";"-";"-";"-";"ihfA";"protein_coding";"integration host factor subunit alpha"
"gene-b1713";"U00096.3";"+";"+";"+";"+";"+";"+";"pheT";"protein_coding";"phenylalanine--tRNA ligase subunit beta"
"gene-b1719";"U00096.3";"+";"+";"+";"+";"+";"-";"thrS";"protein_coding";"threonine--tRNA ligase"
"gene-b1779";"U00096.3";"+";"-";"+";"-";"-";"-";"gapA";"protein_coding";"glyceraldehyde-3-phosphate dehydrogenase A"
"gene-b1826";"U00096.3";"-";"+";"-";"-";"-";"-";"mgrB";"protein_coding";"PhoQ kinase inhibitor"
"gene-b1911";"U00096.3";"+";"+";"+";"+";"+";"+";"glyW";"tRNA";"tRNA-Gly"
"gene-b2027";"U00096.3";"+";"+";"+";"+";"+";"+";"wzzB";"protein_coding";"O-antigen co-polymerase"
"gene-b2252";"U00096.3";"-";"+";"+";"-";"-";"-";"ais";"protein_coding";"putative lipopolysaccharide core heptose(II)-phosphate phosphatase"
"gene-b2401";"U00096.3";"+";"+";"+";"+";"+";"+";"valU";"tRNA";"tRNA-Val"
"gene-b2402";"U00096.3";"-";"+";"+";"+";"+";"-";"valX";"tRNA";"tRNA-Val"
"gene-b2426";"U00096.3";"+";"-";"+";"-";"-";"-";"ucpA";"protein_coding";"oxidoreductase UcpA"
"gene-b2597";"U00096.3";"+";"-";"-";"-";"-";"-";"raiA";"protein_coding";"ribosome-associated inhibitor A"
"gene-b2614";"U00096.3";"+";"+";"+";"-";"-";"-";"grpE";"protein_coding";"nucleotide exchange factor GrpE"
